test 94: no_error_count: 118679, error_count: 2129, ARE: 1.80336037681575, counter_report: 43846
test 95: no_error_count: 120784, error_count: 24, ARE: 1.115156870202537, counter_report: 45005
test 96: no_error_count: 120800, error_count: 8, ARE: 1.0105338661499303, counter_report: 46378
test 97: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47467
test 98: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46450
test 99: no_error_count: 120680, error_count: 128, ARE: 1.1983617863096157, counter_report: 45653
test 100: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47301
test 101: no_error_count: 120792, error_count: 16, ARE: 0.8071150256183048, counter_report: 47057
test 102: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47603
test 103: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47027
test 104: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47510
test 105: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 45596
test 106: no_error_count: 120779, error_count: 29, ARE: 0.9954351725382639, counter_report: 45708
test 107: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46773
test 108: no_error_count: 120752, error_count: 56, ARE: 1.0082260246665027, counter_report: 45629
test 109: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 44432
test 110: no_error_count: 120807, error_count: 1, ARE: 0, counter_report: 45931
test 111: no_error_count: 120752, error_count: 56, ARE: 0.9578433983775082, counter_report: 46161
test 112: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46169
test 113: no_error_count: 120803, error_count: 5, ARE: 0.7322959215045546, counter_report: 46571
test 114: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46860
test 115: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46827
test 116: no_error_count: 120768, error_count: 40, ARE: 1.1195929092889518, counter_report: 46177
test 117: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46688
test 118: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46612
test 119: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 45992
test 120: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46442
test 121: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47149
test 122: no_error_count: 120803, error_count: 5, ARE: 0.8510864539990753, counter_report: 46130
test 123: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47489
test 124: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46586
test 125: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46198
test 126: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46306
test 127: no_error_count: 120804, error_count: 4, ARE: 0.5727440123807638, counter_report: 47115
test 128: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47267
test 129: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46275
test 130: no_error_count: 120792, error_count: 16, ARE: 1.1461648514656284, counter_report: 46746
test 131: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47349
test 132: no_error_count: 120804, error_count: 4, ARE: 0.9031662781662781, counter_report: 46264
test 133: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46994
test 134: no_error_count: 120740, error_count: 68, ARE: 1.2189603097615074, counter_report: 46264
test 135: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47138
test 136: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 45300
test 137: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46148
