test 68: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46050
test 69: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45799
test 70: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45954
test 71: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46071
test 72: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46230
test 73: no_error_count: 12082, error_count: 112, ARE: 1.4965299328915056, counter_report: 44601
test 74: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45706
test 75: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45498
test 76: no_error_count: 12162, error_count: 32, ARE: 1.3081244752162189, counter_report: 45663
test 77: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45472
test 78: no_error_count: 12162, error_count: 32, ARE: 1.4254651121323283, counter_report: 45720
test 79: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45771
test 80: no_error_count: 12186, error_count: 8, ARE: 1.4117310697521703, counter_report: 44915
test 81: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46186
test 82: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45957
test 83: no_error_count: 12138, error_count: 56, ARE: 1.2559659792029143, counter_report: 45637
test 84: no_error_count: 12170, error_count: 24, ARE: 1.1839577010026467, counter_report: 45099
test 85: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45360
test 86: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45556
test 87: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46016
test 88: no_error_count: 6290, error_count: 5904, ARE: 1.5791545439973995, counter_report: 44196
test 89: no_error_count: 12162, error_count: 32, ARE: 0.9622944952683625, counter_report: 44968
test 90: no_error_count: 12006, error_count: 188, ARE: 1.4296518005828742, counter_report: 44646
test 91: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45504
test 92: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45478
test 93: no_error_count: 12170, error_count: 24, ARE: 1.224102495590406, counter_report: 45501
test 94: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45848
test 95: no_error_count: 12146, error_count: 48, ARE: 1.237089200142699, counter_report: 45923
test 96: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45780
test 97: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45899
test 98: no_error_count: 12154, error_count: 40, ARE: 1.5170119809585538, counter_report: 44515
test 99: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45405
test 100: no_error_count: 12175, error_count: 19, ARE: 1.1371784187785332, counter_report: 44749
test 1: no_error_count: 10714, error_count: 1480, ARE: 1.8339285636070384, counter_report: 44462
test 2: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45058
test 3: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45563
test 4: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 44808
test 5: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45836
test 6: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45281
test 7: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 44905
test 8: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45890
test 9: no_error_count: 12186, error_count: 8, ARE: 1.3440405782934617, counter_report: 45439
test 10: no_error_count: 12050, error_count: 144, ARE: 1.2456574312360935, counter_report: 45059
test 11: no_error_count: 12186, error_count: 8, ARE: 0.857800612337758, counter_report: 45525
test 12: no_error_count: 11962, error_count: 232, ARE: 1.2626830521383021, counter_report: 44939
test 13: no_error_count: 12116, error_count: 78, ARE: 1.4864713459523358, counter_report: 44381
test 14: no_error_count: 12162, error_count: 32, ARE: 1.411298041921052, counter_report: 45660
test 15: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46110
test 16: no_error_count: 12186, error_count: 8, ARE: 1.7216878338672748, counter_report: 45734
test 17: no_error_count: 12090, error_count: 104, ARE: 1.82033503728373, counter_report: 43783
test 18: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45222
test 19: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46084
test 20: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45296
test 21: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46011
test 22: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46502
test 23: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46601
test 24: no_error_count: 12162, error_count: 32, ARE: 1.3530211457777621, counter_report: 45700
test 25: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45498
test 26: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45781
test 27: no_error_count: 12138, error_count: 56, ARE: 1.0064907819441173, counter_report: 45843
test 28: no_error_count: 12154, error_count: 40, ARE: 1.2342899257238138, counter_report: 44763
test 29: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46104
test 30: no_error_count: 12178, error_count: 16, ARE: 1.4662866515492627, counter_report: 44902
test 31: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45892
test 32: no_error_count: 12020, error_count: 174, ARE: 2.0540931705895678, counter_report: 43932
test 33: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46396
test 34: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45788
test 35: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46324
test 36: no_error_count: 12031, error_count: 163, ARE: 1.1527999005518739, counter_report: 44451
test 37: no_error_count: 12039, error_count: 155, ARE: 1.876316909082863, counter_report: 44279
test 38: no_error_count: 12066, error_count: 128, ARE: 1.4582552542094755, counter_report: 45506
test 39: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45815
test 40: no_error_count: 12186, error_count: 8, ARE: 0.8334388989284223, counter_report: 45347
test 41: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45864
test 42: no_error_count: 12146, error_count: 48, ARE: 1.3334905482704205, counter_report: 45542
test 43: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45970
test 44: no_error_count: 12193, error_count: 1, ARE: 0, counter_report: 45747
test 45: no_error_count: 12042, error_count: 152, ARE: 1.2499447065573173, counter_report: 45131
test 46: no_error_count: 11876, error_count: 318, ARE: 1.41485536937045, counter_report: 43798
test 47: no_error_count: 12098, error_count: 96, ARE: 1.5680195938416575, counter_report: 44181
test 48: no_error_count: 12186, error_count: 8, ARE: 1.2618800654690043, counter_report: 45665
test 49: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45129
test 50: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45468
test 51: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46047
test 52: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 44910
test 53: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45390
test 54: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45515
test 55: no_error_count: 12106, error_count: 88, ARE: 1.2621445592972487, counter_report: 44277
test 56: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46048
test 57: no_error_count: 12162, error_count: 32, ARE: 1.4228047146154452, counter_report: 45287
test 58: no_error_count: 5154, error_count: 7040, ARE: 1.7344031617033564, counter_report: 43848
test 59: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46094
test 60: no_error_count: 12164, error_count: 30, ARE: 1.098535889407411, counter_report: 45643
test 61: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46075
test 62: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 43246
test 63: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45980
test 64: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45789
test 65: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46056
test 66: no_error_count: 12186, error_count: 8, ARE: 0.9088839617674812, counter_report: 46110
test 67: no_error_count: 12078, error_count: 116, ARE: 1.409006947198508, counter_report: 45269
test 68: no_error_count: 12178, error_count: 16, ARE: 1.0859831024923547, counter_report: 45927
test 69: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45801
test 70: no_error_count: 12162, error_count: 32, ARE: 1.1769105100404595, counter_report: 45309
test 71: no_error_count: 12125, error_count: 69, ARE: 1.1622457386803422, counter_report: 44142
test 72: no_error_count: 12178, error_count: 16, ARE: 1.0142613119036001, counter_report: 46314
test 73: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45895
test 74: no_error_count: 12178, error_count: 16, ARE: 1.1266122923477138, counter_report: 45411
test 75: no_error_count: 12170, error_count: 24, ARE: 1.3334618102258968, counter_report: 45898
test 76: no_error_count: 11528, error_count: 666, ARE: 1.2861661361324384, counter_report: 44097
test 77: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46176
test 78: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 44991
